ParasiteCorrectedName,Insect,GenusOnly,Commensal?,ZooScore,ConfidenceScore,XC ZooScore,XC CScore,XC Notes,XC WhoBy,XC Date,PGF ZooScore,PGF CScore,PGF notes,Non-GMPD,SearchStringGoog,Googlehits(As of 2/8/2017),SearchStringWOS,WOShits (As of 2/6/2017),Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF Citation,PGF more citations,Nematode
Cooperia pigachei ,,0,,,,-1,3,,VR,42727,,,,,Cooperia pigachei      ,5,Cooperia pigachei      ,1,,Boomker and Taylor 2004,,VR,42727,,,,
Cooperia punctata ,,0,,-1,2,-1,1,,VR,42727,,,,,Cooperia punctata      ,2120,Cooperia punctata      ,122,cattle only,"Bricarello et al., 2008",,VR,42727,,,,
Cooperia rotundispiculum ,,0,,-1,2,-1,3,,VR,42727,,,,,Cooperia rotundispiculum      ,36,Cooperia rotundispiculum      ,10,antelope,Boomker 1991,,VR,42727,,,,
Cooperia verrucosa ,,0,,,,-1,3,,VR,42727,,,,,Cooperia verrucosa      ,43,Cooperia verrucosa      ,1,,"Hoberg et al., 1993",,VR,42727,,,,
Cooperia yoshidai ,,3,,,,-1,3,,VR,42727,,,,,Cooperia yoshidai      ,122,Cooperia yoshidai      ,1,,"Boomker et al., 1991",,VR,42727,,,,
Cooperioides hamiltoni ,,0,,,,-1,3,,VR,42727,,,,,Cooperioides hamiltoni      ,41,Cooperioides hamiltoni      ,1,,"Boomker et al., 1988",,VR,42727,,,,
Cooperioides hepaticae ,,0,,,,-1,3,,VR,42727,,,,,Cooperioides hepaticae      ,54,Cooperioides hepaticae      ,5,,"Pletcher et al., 1988",,VR,42727,,,,
Cooperoides antidorca ,,0,,,,-1,3,,VR,42727,,,,,Cooperoides antidorca      ,3,Cooperoides antidorca      ,0,,Canaris and Gardner 2003,,VR,42727,,,,
Cordophilus sagittus ,,0,,-1,1,-1,3,,VR,42727,,,,,Cordophilus sagittus      ,32,Cordophilus sagittus      ,1,certain antelope,"Boomker et al., 1991",,VR,42727,,,,
Coronavirus Transmissible gastroenteritis virus    ,,0,,1,2,1,1,,VR,42726,,,,,Coronavirus Transmissible gastroenteritis virus    ,10400,Coronavirus Transmissible gastroenteritis virus    ,840,human/bat fecal oral,"Hansen et al., 1998",Gideon,VR,42726,,,,
Coronocyclus coronatus ,,0,,,,-1,2,,VR,42726,,,,,Coronocyclus coronatus      ,177,Coronocyclus coronatus      ,18,,Anjos and Rodrigues 2006,,VR,42726,,,,
Coronocyclus labiatus ,,0,,,,-1,2,,VR,42726,,,,,Coronocyclus labiatus      ,143,Coronocyclus labiatus      ,10,,Anjos and Rodrigues 2006,,VR,42726,,,,
Corynebacterium bovis ,,0,,1,2,1,1,,VR,42726,,,,,Corynebacterium bovis      ,17100,Corynebacterium bovis      ,279,cattle/occasional human infection,Brooks and Barnum 1984,Gideon,VR,42726,,,,
Corynebacterium pilosum ,,0,,,,-1,2,,VR,42726,,,,,Corynebacterium pilosum      ,333,Corynebacterium pilosum      ,25,,Yanagawa and Honda 1978,,VR,42726,,,,
Corynebacterium pseudotuberculosis ,,0,,1,2,1,1,,VR,42726,,,,,Corynebacterium pseudotuberculosis      ,8100,Corynebacterium pseudotuberculosis      ,595,follows animal contact,"Dorella et al., 2006",Gideon,VR,42726,,,,
Corynebacterium renale ,,0,,1,2,1,1,,VR,42726,,,,,Corynebacterium renale      ,2700,Corynebacterium renale      ,100,cattle/human abscesses,Shimono and Yanagawa 1977,Gideon,VR,42726,,,,
Corynebacterium ulcerans ,,0,,1,2,1,1,,VR,42726,,,,,Corynebacterium ulcerans      ,4410,Corynebacterium ulcerans      ,203,found in domestic animals and humans,"Lartigue et al., 2005",Gideon,VR,42726,,,,
Corynebacterium xerosis ,,0,,1,2,0,1,,VR,42726,,,,,Corynebacterium xerosis      ,5370,Corynebacterium xerosis      ,143,pigs/goats ,"Kono et al., 1983",,VR,42726,,,,
Corynosoma australe ,,0,,-1,2,-1,2,,VR,42726,,,,,Corynosoma australe      ,542,Corynosoma australe      ,35,marine fish,"Sardella et al., 2005",,VR,42726,,,,
Corynosoma enhydri ,,0,,-1,2,-1,3,,VR,42726,,,,,Corynosoma enhydri      ,41,Corynosoma enhydri      ,3,sea otter,"Margolis et al., 1997",,VR,42726,,,,
Corynosoma hadweni ,,0,,,,-1,3,,VR,42726,,,,,Corynosoma hadweni      ,28,Corynosoma hadweni      ,1,,"Nickol et al., 2002",,VR,42726,,,,
Corynosoma magdaleni ,,0,,-1,2,-1,3,,VR,42726,,,,,Corynosoma magdaleni      ,95,Corynosoma magdaleni      ,7,Seals:Baltic,"Nickol et al., 2002",,VR,42726,,,,
Corynosoma obtuscens ,,0,,0,2,-1,3,,VR,42726,,,,,Corynosoma obtuscens      ,70,Corynosoma obtuscens      ,1,,"Cabrera et al., 1999",,VR,42726,,,,
Corynosoma reductum ,,0,,-1,3,-1,2,,VR,42726,,,,,Corynosoma reductum      ,300,Corynosoma reductum      ,1,,"Aznar et al., 2006",,VR,42726,,,,
Corynosoma semerme ,,0,,-1,3,-1,3,,VR,42726,,,,,Corynosoma semerme      ,258,Corynosoma semerme      ,13,,"Nickol et al., 2002",,VR,42726,,,,
Corynosoma strumosum ,,0,,-1,3,-1,3,,VR,42726,,,,,Corynosoma strumosum      ,600,Corynosoma strumosum      ,38,,"Nickol et al., 2002",,VR,42726,,,,
Corynosoma validum ,,0,,-1,3,-1,3,,VR,42726,,,,,Corynosoma validum      ,43,Corynosoma validum      ,4,,Shults 1986,,VR,42726,,,,
Corynosoma villosum ,,0,,-1,3,-1,3,,VR,42726,,,,,Corynosoma villosum      ,62,Corynosoma villosum      ,5,,"Blaylock et al., 2003",,VR,42726,,,,
Cotylophoron indicum ,,0,,,,-1,3,,VR,42726,,,,,Cotylophoron indicum      ,87,Cotylophoron indicum      ,0,,Goil 1961,NEED,VR,42726,,,,
Cotylophoron jacksoni ,,0,,,,-1,3,,VR,42726,,,,,Cotylophoron jacksoni      ,82,Cotylophoron jacksoni      ,2,,"Boomker et al., 1991",,VR,42726,,,,
Cotylophoron macrosphinctris ,,0,,,,-1,3,,VR,42726,,,,,Cotylophoron macrosphinctris      ,14,Cotylophoron macrosphinctris      ,1,,"Costa et al., 1992",,VR,42726,,,,
Courduriella courduriera ,,0,,,,-1,3,,VR,42726,,,,,Courduriella courduriera      ,0,Courduriella courduriera      ,0,,NEED,,VR,42726,,,,
Coxiella burnetii ,,0,,1,2,1,1,,VR,42726,,,,,Coxiella burnetii      ,24200,Coxiella burnetii      ,36,Bacterium,"Samuel et al., 1985",Gideon,VR,42726,,,,
Craterostomum acuticaudatum ,,0,,-1,2,-1,3,,VR,42726,,,,,Craterostomum acuticaudatum      ,115,Craterostomum acuticaudatum      ,3,horse foals,Scialdo-Krecek 1983,,VR,42726,,,,
Crenosoma goblei ,,0,,,,-1,3,,VR,42726,,,,,Crenosoma goblei      ,27,Crenosoma goblei      ,2,,Babero and Shepperson 1958,,VR,42726,,,,
Crenosoma melesi ,,0,,-1,3,-1,3,,VR,42726,,,,,Crenosoma melesi      ,21,Crenosoma melesi      ,3,European Badgers,"Torres et al., 2008",NEED,VR,42726,,,,
Crenosoma petrowi ,,0,,-1,3,-1,3,,VR,42726,,,,,Crenosoma petrowi      ,111,Crenosoma petrowi      ,3,European Badgers,Seville and Addison 1995,,VR,42726,,,,
Crenosoma taiga ,,0,,-1,3,-1,3,,VR,42726,,,,,Crenosoma taiga      ,46,Crenosoma taiga      ,0,European Badgers,"Vieira et al., 2012",,VR,42726,,,,
Crenosoma vulpis ,,0,,-1,2,-1,2,,VR,42726,,,,,Crenosoma vulpis      ,806,Crenosoma vulpis      ,104,dog/fox heart worm ,"Taubert et al., 2009",,VR,42726,,,,
Crenosoma zederi ,,0,,,,-1,3,,VR,42725,,,,,Crenosoma zederi      ,10,Crenosoma zederi      ,0,,Goble 1942,NEED,VR,42725,,,,
Crossocephalus viviparus ,,0,,,,-1,3,,VR,42725,,,,,Crossocephalus viviparus      ,37,Crossocephalus viviparus      ,0,,"Krecek et al., 1994",,VR,42725,,,,
Cruzia americana ,,0,,-1,2,-1,2,,VR,42725,,,,,Cruzia americana      ,198,Cruzia americana      ,6,opposum,"Nichelason et al., 2008",,VR,42725,,,,
Cryptococcus albidus ,,0,,0,3,0,1,,VR,42725,,,,,Cryptococcus albidus      ,6310,Cryptococcus albidus      ,362,air/soil,"Kordossis et al., 1998",Gideon,VR,42725,,,,
Cryptococcus diffluens ,,0,,0,3,0,1,,VR,42725,,,,,Cryptococcus diffluens      ,975,Cryptococcus diffluens      ,23,no sexula forms,"Sugita et al., 2003",Gideon,VR,42725,,,,
Cryptococcus gattii ,,0,,1,3,0,1,,VR,42725,,,,,Cryptococcus gattii      ,7920,Cryptococcus gattii      ,1122,Fungs (Pigeon/soil),"MacDougall et al., 2007",Gideon,VR,42725,,,,
Cryptococcus laurentii ,,0,,0,3,0,1,,VR,42725,,,,,Cryptococcus laurentii      ,6970,Cryptococcus laurentii      ,497,plant matter/soil/water/mammals,"Kordossis et al., 1998",Gideon,VR,42725,,,,
Cryptocotyle jejunum ,,0,,,,-1,3,,VR,42725,,,,,Cryptocotyle jejunum      ,51,Cryptocotyle jejunum      ,0,,"Ching et al., 2000",,VR,42725,,,,
Cryptocotyle lingua ,,0,,-1,2,-1,1,,VR,42725,,,,,Cryptocotyle lingua      ,1870,Cryptocotyle lingua      ,107,snail to fish,"Huxham et al., 1993",,VR,42725,,,,
Cryptosporidium parvum ,,0,,0,3,0,1,,VR,42725,,,,,Cryptosporidium parvum      ,41400,Cryptosporidium parvum      ,5648,water/feces/oysters,"DuPont et al., 1995",,VR,42725,,,,
Ctenophthalmus pseudagyrtes ,,0,,,,-1,2,,VR,42725,,,,,Ctenophthalmus pseudagyrtes      ,191,Ctenophthalmus pseudagyrtes      ,9,,Mathewson and Hyland 1964,,VR,42725,,,,
Culicoides bickleyi ,,0,,,,-1,3,,VR,42725,,,,,Culicoides bickleyi      ,36,Culicoides bickleyi      ,0,,Root and Gerhardt 1991,,VR,42725,,,,
Culicoides debiliapalpis ,,0,,,,-1,3,,VR,42725,,,,,Culicoides debiliapalpis      ,0,Culicoides debiliapalpis      ,0,,NEED,,VR,42725,,,,
Cuterebra fontinella ,,0,,-1,2,-1,2,,VR,42725,,,,,Cuterebra fontinella      ,306,Cuterebra fontinella      ,37,Bot Fly/mouse,Cramer and Cameron 2006,,VR,42725,,,,
Cuterebra grisea ,,0,,-1,2,-1,3,,VR,42725,,,,,Cuterebra grisea      ,223,Cuterebra grisea      ,3,Bot Fly/golden mouse,"Boonstra et al., 1980",,VR,42725,,,,
Cutifilaria wenki ,,0,,,,-1,3,,VR,42725,,,,,Cutifilaria wenki      ,22,Cutifilaria wenki      ,1,,"Uni et al., 2004",,VR,42725,,,,
Cyathospirura chevreuxi ,,0,,,,-1,3,,VR,42725,,,,,Cyathospirura chevreuxi      ,16,Cyathospirura chevreuxi      ,1,,"Pence et al., 2003",,VR,42725,,,,
Cyathostomum alveatum ,,0,,-1,2,-1,3,,VR,42725,,,,,Cyathostomum alveatum      ,38,Cyathostomum alveatum      ,3,equid,Scialdo-Krecek 1983,,VR,42725,,,,
Cyathostomum catinatum ,,0,,-1,2,-1,2,,VR,42725,,,,,Cyathostomum catinatum      ,342,Cyathostomum catinatum      ,45,equid,"Silva et al., 1999",,VR,42725,,,,
Cyathostomum labratum ,,0,,-1,2,-1,3,,VR,42725,,,,,Cyathostomum labratum      ,61,Cyathostomum labratum      ,0,equid,"Krecek et al., 1989",NEED,VR,42725,,,,
Cyathostomum montgomeryi ,,0,,-1,2,-1,3,,VR,42725,,,,,Cyathostomum montgomeryi      ,36,Cyathostomum montgomeryi      ,4,equid,Scialdo-Krecek 1983,,VR,42725,,,,
Cyathostomum pateratum ,,0,,-1,2,-1,2,,VR,42725,,,,,Cyathostomum pateratum      ,234,Cyathostomum pateratum      ,15,equid,Anjos and Rodrigues 2006,,VR,42725,,,,
Cyathostomum tetracanthum ,,0,,-1,2,-1,2,,VR,42725,,,,,Cyathostomum tetracanthum      ,131,Cyathostomum tetracanthum      ,11,equid,Scialdo-Krecek 1983,,VR,42725,,,,
Cycloposthium bipalmatum ,,0,,-1,3,-1,3,,VR,42725,,,,,Cycloposthium bipalmatum      ,68,Cycloposthium bipalmatum      ,2,equid,Anette and Van Hoven 1980,,VR,42725,,,,
Cycloposthium corrugatum ,,0,,,,-1,3,,VR,42725,,,,,Cycloposthium corrugatum      ,9,Cycloposthium corrugatum      ,0,,Gurelli and Gocmen 2011,,VR,42725,,,,
Cycloposthium dentiferum ,,0,,,,-1,3,,VR,42725,,,,,Cycloposthium dentiferum      ,15,Cycloposthium dentiferum      ,1,,Gurelli and Gocmen 2011,,VR,42725,,,,
Cycloposthium edentatum ,,0,,-1,3,-1,3,,VR,42725,,,,,Cycloposthium edentatum      ,57,Cycloposthium edentatum      ,5,,Gurelli and Gocmen 2011,,VR,42725,,,,
Cycloposthium scutigerum ,,0,,,,-1,3,,VR,42725,,,,,Cycloposthium scutigerum      ,12,Cycloposthium scutigerum      ,1,,Gurelli and Gocmen 2011,,VR,42725,,,,
Cyclospora cercopitheci ,,0,,0,3,-1,3,,VR,42725,,,,,Cyclospora cercopitheci      ,131,Cyclospora cercopitheci      ,2,water/vegetables,"Eberhard et al., 1999",,VR,42725,,,,
Cyclospora colobi ,,0,,0,3,-1,2,,VR,42725,,,,,Cyclospora colobi      ,913,Cyclospora colobi      ,3,water/vegetables,"Eberhard et al., 1999",,VR,42725,,,,
Cyclospora papionis ,,0,,0,3,-1,2,,VR,42724,,,,,Cyclospora papionis      ,184,Cyclospora papionis      ,7,water/vegetables,"Li et al., 2011",,VR,42724,,,,
Cylicocyclus adersi ,,0,,-1,3,-1,3,,VR,42724,,,,,Cylicocyclus adersi      ,41,Cylicocyclus adersi      ,1,equid,"Krecek et al., 1987",,VR,42724,,,,1
Cylicocyclus asini ,,0,,,,-1,2,,VR,42724,,,,,Cylicocyclus asini      ,79,Cylicocyclus asini      ,2,,"Lichtenfels et al., 2008",,VR,42724,,,,1
Cylicocyclus auriculatus ,,0,,,,-1,3,,VR,42724,,,,,Cylicocyclus auriculatus      ,73,Cylicocyclus auriculatus      ,3,,Scialdo-Krecek 1983,,VR,42724,,,,1
Cylicocyclus elongatus ,,0,,-1,3,-1,2,,VR,42724,,,,,Cylicocyclus elongatus      ,162,Cylicocyclus elongatus      ,9,equid,"Stancampiano et al., 2010",,VR,42724,,,,1
Cylicocyclus gyalocephaloides ,,0,,,,-1,3,,VR,42724,,,,,Cylicocyclus gyalocephaloides      ,24,Cylicocyclus gyalocephaloides      ,2,,"Lichtenfels et al., 2005",,VR,42724,,,,1
Cylicocyclus insigne ,,0,,-1,3,-1,2,,VR,42724,,,,,Cylicocyclus insigne      ,296,Cylicocyclus insigne      ,26,equid,Scialdo-Krecek 1983,,VR,42724,,,,1
Cylicocyclus leptostomum ,,0,,-1,3,-1,3,,VR,42724,,,,,Cylicocyclus leptostomum      ,98,Cylicocyclus leptostomum      ,10,equid,"Lia et al., 2010",,VR,42724,,,,1
Cylicocyclus nassatus ,,0,,-1,3,-1,2,,VR,42724,,,,,Cylicocyclus nassatus      ,500,Cylicocyclus nassatus      ,64,equid,"Tandon et al., 2006",,VR,42724,,,,1
Cylicocyclus radiatus ,,0,,-1,3,-1,2,,VR,42724,,,,,Cylicocyclus radiatus      ,159,Cylicocyclus radiatus      ,12,equid,"Lichtenfels et al., 1998",,VR,42724,,,,1
Cylicocyclus triramosus ,,0,,-1,3,-1,3,,VR,42724,,,,,Cylicocyclus triramosus      ,54,Cylicocyclus triramosus      ,6,equid,Scialdo-Krecek 1983,,VR,42724,,,,1
Cylicodontophorus reineckei ,,0,,,,-1,3,,VR,42724,,,,,Cylicodontophorus reineckei      ,30,Cylicodontophorus reineckei      ,1,,Scialdo-Krecek and Malan 1984,,VR,42724,,,,1
Cylicodontophorus schuermanni ,,0,,,,-1,3,,VR,42724,,,,,Cylicodontophorus schuermanni      ,21,Cylicodontophorus schuermanni      ,0,,"Krecek et al., 1987",,VR,42724,,,,1
Cylicostephanus asymetricus ,,0,,-1,3,-1,3,,VR,42724,,,,,Cylicostephanus asymetricus      ,64,Cylicostephanus asymetricus      ,3,equid,Tolliver 2000,,VR,42724,,,,1
Cylicostephanus bidentatus ,,0,,,,-1,3,,VR,42724,,,,,Cylicostephanus bidentatus      ,84,Cylicostephanus bidentatus      ,7,,Scialdo-Krecek 1983,,VR,42724,,,,1
Cylicostephanus calicatus ,,0,,-1,,-1,2,,VR,42724,,,,,Cylicostephanus calicatus      ,242,Cylicostephanus calicatus      ,26,equid,Scialdo-Krecek 1983,,VR,42724,,,,1
Cylicostephanus goldi ,,0,,-1,,-1,2,,VR,42724,,,,,Cylicostephanus goldi      ,332,Cylicostephanus goldi      ,40,equid,"Hung et al., 1999",NEED,VR,42724,,,,1
Cylicostephanus longibursatus ,,0,,-1,,-1,3,,VR,42724,,,,,Cylicostephanus longibursatus      ,345,Cylicostephanus longibursatus      ,44,equid,"Krecek et al., 1989",,VR,42724,,,,1
Cylicostephanus longiconus ,,0,,,,-1,3,,VR,42724,,,,,Cylicostephanus longiconus      ,21,Cylicostephanus longiconus      ,2,,Scialdo-Krecek 1983,,VR,42724,,,,1
Cylicostephanus minutus ,,0,,-1,,-1,3,,VR,42724,,,,,Cylicostephanus minutus      ,394,Cylicostephanus minutus      ,26,equid,Scialdo-Krecek 1983,,VR,42724,,,,1
Cylindropharynx intermedia ,,0,,,,-1,3,,VR,42724,,,,,Cylindropharynx intermedia      ,63,Cylindropharynx intermedia      ,0,,"Krecek et al., 1987",,VR,42724,,,,
Cylocospirura felineus ,,0,,,,-1,3,,VR,42724,,,,,Cylocospirura felineus      ,0,Cylocospirura felineus      ,0,,"Junker et al., 2006",NEED,VR,42724,,,,
Cylocospirura subaequalis ,,0,,,,-1,3,,VR,42724,,,,,Cylocospirura subaequalis      ,0,Cylocospirura subaequalis      ,0,,Waid and Pence 1987,,VR,42724,,,,
Cystocaulus ocreatus ,,0,,-1,3,-1,3,,VR,42724,,,,,Cystocaulus ocreatus      ,334,Cystocaulus ocreatus      ,23,sheep/ruminant,"Yildiz et al., 2006",,VR,42724,,,,
Cystoisospora felis ,,0,,0,3,-1,1,,VR,42724,,,,,Cystoisospora felis      ,2480,Cystoisospora felis      ,29,Protozoa:fecal oral sexual,"Bybee et al., 2011",,VR,42724,,,,
Cystoisospora ohioensis ,,0,,0,3,-1,1,,VR,42724,,,,,Cystoisospora ohioensis      ,496,Cystoisospora ohioensis      ,18,Protozoa ,"Mandarino-Pereira et al., 2010",,VR,42724,,,,
Cytauxzoon felis ,,0,,-1,2,-1,2,,VR,42724,,,,,Cytauxzoon felis      ,798,Cytauxzoon felis      ,102,felid only,"Blouin et al., 1984",,VR,42724,,,,
Cytauxzoon manul ,,0,,-1,1,-1,2,,VR,42724,,,,,Cytauxzoon manul      ,286,Cytauxzoon manul      ,11,felid only,"Joyner et al., 2007",,VR,42724,,,,
Cytomegalovirus Phacochoerus africanus cytomegalovirus 1   ,,0,,0,3,-1,3,,VR,42724,,,,,Cytomegalovirus Phacochoerus africanus cytomegalovirus 1   ,29,Cytomegalovirus Phacochoerus africanus cytomegalovirus 1   ,1,Human Virus:resp-urine-dairy-feces-sexual-transplacental ,Ehlers and Lowden 2004,,VR,42724,,,,
Cytomegalovirus Cercopithecine herpesvirus 5    ,,0,,0,3,0,2,,VR,42724,,,,,Cytomegalovirus Cercopithecine herpesvirus 5    ,808,Cytomegalovirus Cercopithecine herpesvirus 5    ,1,Human Virus:resp-urine-dairy-feces-sexual-transplacental ,Gideon,NEED,VR,42724,,,,
Cytomegalovirus Pongine herpesvirus 4    ,,0,,,,-1,2,,VR,42723,,,,,Cytomegalovirus Pongine herpesvirus 4    ,336,Cytomegalovirus Pongine herpesvirus 4    ,0,,"Blasdell et al., 2003",,VR,42723,,,,
Daubentonialges brygooi ,,0,,,,-1,3,,VR,42723,,,,,Daubentonialges brygooi      ,5,Daubentonialges brygooi      ,0,,"Bochkov et al., 2010",,VR,42723,,,,
Daubneya oldi ,,0,,,,-1,3,,VR,42723,,,,,Daubneya oldi      ,59,Daubneya oldi      ,0,,NEED,,VR,42723,,,,
Deltapapillomavirus Bovine papillomavirus 1    ,,0,,-1,1,-1,1,,VR,42723,,,,,Deltapapillomavirus Bovine papillomavirus 1    ,225,Deltapapillomavirus Bovine papillomavirus 1    ,12,Bovid and sometimes equid,"Finlay et al., 2012",,VR,42723,,,,
Deltaretrovirus Bovine leukemia virus    ,,0,,-1,1,-1,1,,VR,42723,,,,,Deltaretrovirus Bovine leukemia virus    ,1450,Deltaretrovirus Bovine leukemia virus    ,28,Bovid:direct contact,"Buehring et al., 2015",,VR,42723,,,,
Deltaretrovirus STLV-L ,,0,,1,3,1,1,,VR,42723,,,,,Deltaretrovirus STLV-L      ,20,Deltaretrovirus STLV-L      ,0,Possible Chimpanzee?,"Calvignac-Spencer et al., 2012",,VR,42723,,,,
Deltaretrovirus STLV 1     ,,3,,,,1,1,,VR,42723,,,,,Deltaretrovirus STLV 1     ,382,Deltaretrovirus STLV 1     ,2,,NEED,,VR,42723,,,,
Deltaretrovirus STLV 2     ,,3,,,,1,1,,VR,42723,,,,,Deltaretrovirus STLV 2     ,374,Deltaretrovirus STLV 2     ,2,,NEED,,VR,42723,,,,
Dengue virus group Dengue 1   ,,0,,0,1,0,1,,VR,42723,,,,,Dengue virus group Dengue 1   ,184000,Dengue virus group Dengue 1   ,447,Blood/Mosquito,"Goncalvez et al., 2002",Gideon,VR,42723,,,,
Dengue virus group Dengue 2   ,,3,,,,0,1,,VR,42723,,,,,Dengue virus group Dengue 2   ,185000,Dengue virus group Dengue 2   ,493,,"Rico-Hesse et al., 1997",,VR,42723,,,,
Dermatobia hominis ,,0,,0,1,0,1,,VR,42723,,,,,Dermatobia hominis      ,4560,Dermatobia hominis      ,289,arthropod; extracted maggot ,Smith 2015,Gideon,VR,42723,,,,
Dermatophilus congolensis ,,0,,0,3,0,1,,VR,42723,,,,,Dermatophilus congolensis      ,2460,Dermatophilus congolensis      ,201,Bacteria ,"Amor et al., 2011",Gideon,VR,42723,,,,
Diceronema versterae ,,0,,,,-1,3,,VR,42723,,,,,Diceronema versterae      ,10,Diceronema versterae      ,2,,"Gibbons et al., 1996",,VR,42723,,,,
Dichelobacter nodosus ,,0,,-1,3,-1,1,,VR,42723,,,,,Dichelobacter nodosus      ,2400,Dichelobacter nodosus      ,326,found in sheep,"Bennett et al., 2009",,VR,42723,,,,
Dicrocoelium colobusicola ,,0,,,,-1,3,,VR,42723,,,,,Dicrocoelium colobusicola      ,9,Dicrocoelium colobusicola      ,0,,"Stuart et al., 1998",,VR,42723,,,,
Dicrocoelium dendriticum ,,0,,0,1,0,1,,VR,42723,,,,,Dicrocoelium dendriticum      ,3310,Dicrocoelium dendriticum      ,302,ingestion of infected ants (human),"Cengiz et al., 2010",NEED,VR,42723,,,,
Dicrocoelium lanceatum ,,0,,,,0,2,,VR,42723,,,,,Dicrocoelium lanceatum      ,850,Dicrocoelium lanceatum      ,3,,NEED,,VR,42723,,,,
Dictyocaulus viviparus ,,0,,,,-1,1,,VR,42723,,,,,Dictyocaulus viviparus      ,4880,Dictyocaulus viviparus      ,453,,"Haslam et al., 2000",,VR,42723,,,,
Dictyocaulus capreolus ,,0,,-1,2,-1,2,,VR,42723,,,,,Dictyocaulus capreolus      ,384,Dictyocaulus capreolus      ,24,Roe deer and mouse,Gibbons and Hoglund 2002,,VR,42723,,,,
Dictyocaulus eckerti ,,0,,-1,2,-1,2,,VR,42723,,,,,Dictyocaulus eckerti      ,607,Dictyocaulus eckerti      ,36,deer and cattle,"Hoglund et al., 1999",,VR,42723,,,,
Dictyocaulus filaria ,,0,,-1,3,-1,1,,VR,42723,,,,,Dictyocaulus filaria      ,3070,Dictyocaulus filaria      ,109,Sheep,Anderson and Verster 1971,,VR,42723,,,,
Dictyocaulus magnus ,,0,,,,-1,3,,VR,42723,,,,,Dictyocaulus magnus      ,52,Dictyocaulus magnus      ,0,,"Horak et al., 1982",,VR,42723,,,,
Dictyocaulus noerneri ,,0,,-1,3,-1,3,,VR,42723,,,,,Dictyocaulus noerneri      ,60,Dictyocaulus noerneri      ,5,"moose, cattle, and roe deer","Durette-Desset et al., 1987",,VR,42723,,,,
Didelphilichus serrifer ,,0,,,,-1,3,,VR,42723,,,,,Didelphilichus serrifer      ,10,Didelphilichus serrifer      ,2,,"Whitaker Jr. et al., 1976",,VR,42723,,,,
Didelphonema longispiculata ,,0,,,,-1,3,,VR,42723,,,,,Didelphonema longispiculata      ,19,Didelphonema longispiculata      ,2,,"Beldomenico et al., 2005",,VR,42723,,,,
Dientamoeba fragilis ,,0,,0,1,0,1,,VR,42723,,,,,Dientamoeba fragilis      ,3620,Dientamoeba fragilis      ,231,"human, ape, pig","Girginkardesler et al., 2003",,VR,42723,,,,
Digilchristia draconis ,,0,,-1,2,-1,3,,VR,42723,,,,,Digilchristia draconis      ,2,Digilchristia draconis      ,1,white rhino,"Ito et al., 2006",,VR,42723,,,,
Dioctophyma renale ,,0,,0,2,0,1,,VR,42723,,,,,Dioctophyma renale      ,1290,Dioctophyma renale      ,47,,"Ignjatovic et al., 2003",,VR,42723,,,,
Dipetalonema atelense ,,0,,,,-1,3,,VR,42723,,,,,Dipetalonema atelense      ,2,Dipetalonema atelense      ,0,Nematode,"dos Santos et al., 2012",,VR,42723,,,,
Dipetalonema barbascalensis ,,0,,-1,3,-1,3,,VR,42723,,,,,Dipetalonema barbascalensis      ,17,Dipetalonema barbascalensis      ,1,Nematode,"Bain et al., 2015",,VR,42723,,,,
Dipetalonema blanci ,,0,,,,-1,3,,VR,42720,,,,,Dipetalonema blanci      ,171,Dipetalonema blanci      ,0,Nematode,Schneider and Husson 1956,NEED,VR,42720,,,,
Dipetalonema caudispina ,,0,,-1,2,-1,3,,VR,42720,,,,,Dipetalonema caudispina      ,60,Dipetalonema caudispina      ,5,South American monkeys,"Notarnicola et al., 2007",,VR,42720,,,,
Dipetalonema digitatum ,,0,,-1,3,-1,3,,VR,42720,,,,,Dipetalonema digitatum      ,14,Dipetalonema digitatum      ,1,Non-human primate,"Mak et al., 1980",NEED,VR,42720,,,,
Dipetalonema elegans ,,0,,?,,-1,3,,VR,42720,,,,,Dipetalonema elegans      ,527,Dipetalonema elegans      ,6,See resulst for C. elegans,NEED,,VR,42720,,,,
Dipetalonema gorillae ,,0,,,,-1,2,,VR,42720,,,,,Dipetalonema gorillae      ,119,Dipetalonema gorillae      ,0,Nematode,Fain 1974,,VR,42720,,,,
Dipetalonema gracile ,,0,,-1,2,-1,2,,VR,42720,,,,,Dipetalonema gracile      ,224,Dipetalonema gracile      ,9,South American monkeys,"Stuart et al., 1998",,VR,42720,,,,
Dipetalonema graciliformis ,,0,,,,-1,2,,VR,42720,,,,,Dipetalonema graciliformis      ,161,Dipetalonema graciliformis      ,2,Nematode,"Notarnicola et al., 2008",,VR,42720,,,,
Dipetalonema leopoldi ,,0,,,,-1,3,,VR,42720,,,,,Dipetalonema leopoldi      ,7,Dipetalonema leopoldi      ,0,Nematode,Fain 1974,,VR,42720,,,,
Dipetalonema llewellyni ,,0,,,,-1,3,,VR,42720,,,,,Dipetalonema llewellyni      ,23,Dipetalonema llewellyni      ,0,Nematode,Price 1962,,VR,42720,,,,
Dipetalonema marmosetae ,,0,,?,,-1,3,,VR,42720,,,,,Dipetalonema marmosetae      ,59,Dipetalonema marmosetae      ,0,see results for T. marmosetae,NEED,,VR,42720,,,,
